"KabupatenKota","A","A1","A2","A3","A4","B","B1","B2","B3","B4","C","C1","C2","C3","C4","D","D1","D2","D3","D4","E","E1","E2","E3","E4","F","F1","F2","F3","F4","G","G1","G2","G3","H","H1","H2","H3","I","I1","I2","I3","J","J1","J2","J3","K","K1","K2"
"Kabupaten Cilacap","351735","363367","384955","419429","441093","198.6","201.71","190.96","191","186.08","11.46","11.67","11.02","10.99","10.68","9.1","9.97","9.62","8.74","7.83","0.95","1.48","1.47","1.54","1.59","0.13","0.3","0.33","0.35","0.35","80.85","76.42","79.1","80.38","93.02","93.37","90.56","88.75","24.67","31.08","34.57","32.21","17.78","18.46","19.05","19.19","92.13","96.55","92.72"
"Kabupaten Banyumas","406250","417086","441520","479027","500861","225.84","232.91","220.47","216.5","207.78","13.26","13.66","12.84","12.53","11.95","6","6.05","6.05","6.35","6.18","2.25","2.35","1.75","1.78","2.09","0.5","0.57","0.35","0.41","0.5","75.24","79.97","79.8","83","92.8","91.49","90.03","93.57","31.59","40.52","48.51","44.2","23.06","21.67","26.04","24.25","89.59","92.28","93.38"
"Kabupaten Purbalingga","375199","384183","407849","439208","460870","149.48","153.08","145.33","143.41","136.72","15.9","16.24","15.3","14.99","14.18","6.1","6.05","5.23","5.61","4.96","2.32","2.1","2.08","2.52","2.1","0.43","0.41","0.48","0.58","0.5","81.24","76.33","78.56","77.19","94.51","85.18","88.61","82.82","31.55","37.35","45.06","43.21","20.19","26.74","28.72","27.79","93.45","95.73","95.5"
"Kabupaten Banjarnegara","318334","328679","351333","380046","398344","144.95","150.19","141.25","138.99","137.68","15.64","16.23","15.2","14.9","14.71","5.86","5.86","6.38","6.26","5.57","2.47","2.97","2.34","2.34","2.38","0.51","0.79","0.48","0.56","0.61","46.25","40.75","51.66","46.09","85.54","82.61","89.21","87.56","23.87","29.35","30.23","27.67","17.28","21.39","27.54","23.61","92.87","95.1","95.55"
"Kabupaten Kebumen","380557","390599","416004","451678","471824","211.09","212.92","196.16","195.45","187.95","17.59","17.83","16.41","16.34","15.71","6.07","6.03","5.92","5.11","5.07","2.62","3.24","3.41","2.89","2.35","0.55","0.88","1.02","0.75","0.48","91.95","88.99","93.49","93.68","88.16","86.36","87.38","87.34","31.4","37.61","38.19","33.76","19.72","21.77","22.46","19.03","94.47","94.47","94.98"
"Kabupaten Purworejo","364289","376127","393731","427622","459253","84.79","88.8","82.64","81.28","78.02","11.78","12.4","11.53","11.33","10.87","4.04","3.59","4.45","4.02","3.89","0.98","1.36","1.31","1.78","1.08","0.12","0.28","0.24","0.43","0.18","83.79","79.81","80.21","81.43","86.82","85.99","89.1","91.26","23.25","24.93","24.99","22.2","14.96","15.77","13.4","15.82","87.17","89.13","89.27"
"Kabupaten Wonosobo","362683","373474","399180","425105","456351","137.63","139.67","128.11","123.7","121.49","17.36","17.67","16.17","15.58","15.28","5.37","5.26","5.01","4.95","4.02","2.42","2.75","3.18","2.6","2.41","0.47","0.65","0.86","0.63","0.6","48.18","53.27","55.3","58.14","97.74","95.64","90.28","94.61","33.81","37.9","34.67","25.07","19.28","20.49","23.22","23.78","94.72","97.83","96.01"
"Kabupaten Magelang","342430","353608","377497","411129","431289","146.34","154.91","145.33","144.49","143.8","11.27","11.91","11.09","10.96","10.83","4.27","5.03","4.97","4.42","3.55","1.23","1.63","1.66","1.73","1.23","0.2","0.35","0.41","0.41","0.23","76.91","78.4","80.49","85.14","90.51","94.14","94.65","97.5","24.49","36.7","36.92","32.04","17.75","22.62","27.09","27.98","92.98","93.82","93.7"
"Kabupaten Boyolali","347520","361922","383030","420339","442071","100.59","104.82","97.18","97.48","95.96","10.18","10.62","9.82","9.81","9.63","5.28","5.09","4.92","4.05","3.16","1.3","1.76","1.13","1.02","1.56","0.23","0.38","0.2","0.18","0.4","92.65","87.72","92.4","89.31","95.08","93.42","96.36","94.36","17.54","22.18","14.6","13.4","9.97","17.81","22.25","18.38","94.04","95.19","93.58"
"Kabupaten Klaten","419510","436896","458872","488102","505826","151.83","158.23","144.87","144.43","141.84","12.89","13.49","12.33","12.28","12.04","5.46","5.48","4.31","4.2","3.97","1.66","1.79","1.86","1.7","1.46","0.31","0.38","0.44","0.38","0.27","94.68","95.37","95","97.16","97.83","97.84","97.97","99.52","25.15","28.41","22.96","18.99","17.26","19.06","18.06","17.18","84.69","88.39","89.48"
"Kabupaten Sukoharjo","393776","410273","434318","476675","501693","68.89","73.84","68.72","68.79","68.15","7.68","8.23","7.61","7.58","7.47","6.93","3.32","2.47","3.4","3.65","0.97","0.91","0.87","1.17","1.21","0.2","0.21","0.14","0.31","0.3","96.64","94.27","96.14","95.68","99.27","98.01","99.45","99.71","15.12","17.94","16.94","13.32","10.38","10.58","13","16.19","77.59","81.52","84.44"
"Kabupaten Wonogiri","341643","356728","376763","414901","443563","104.37","110.46","105.19","104.82","102.57","10.86","11.55","10.99","10.94","10.71","4.27","2.43","1.95","1.92","2.4","1.08","1.57","1.33","1.32","1.53","0.18","0.34","0.29","0.25","0.33","94.47","92.97","94.62","96.12","96.84","98.82","94.67","96.57","27.29","23.99","26","26.48","14.39","13.93","19.03","21.49","97.42","95.89","95.71"
"Kabupaten Karanganyar","385563","401542","424677","465703","491551","91.72","95.41","88.56","88.64","87.37","10.28","10.68","9.85","9.79","9.59","5.96","5.89","5.7","4.35","3.47","1.56","1.61","1.64","1.22","1.63","0.33","0.37","0.37","0.24","0.41","96.7","95.38","96.32","97.03","98.53","98.65","98.18","98.48","19.86","25.11","24.34","15.49","13.53","14.07","13.64","14.48","91.67","90.48","91.15"
"Kabupaten Sragen","348890","363349","389265","426482","453663","119.38","122.91","115.14","114.62","110.65","13.38","13.83","12.94","12.87","12.41","4.75","4.76","4.69","3.87","3.53","2.17","2.39","2.07","2.15","2.42","0.53","0.6","0.47","0.54","0.67","93.27","89.89","93.08","95.3","98.15","98.33","96.85","98.14","22.77","20.6","20.36","11.72","12.38","16.38","18.37","18.44","92.29","93.53","94.23"
"Kabupaten Grobogan","395001","404456","428597","464614","489208","172.26","175.72","163.2","162.52","159","12.46","12.74","11.8","11.72","11.43","4.5","4.38","4.4","4.02","3.23","1.17","1.66","1.95","1.48","1.9","0.18","0.37","0.45","0.28","0.43","87.39","89.37","87.93","90.49","81.6","76.14","81.85","82.18","23.12","33.63","34.66","25.56","13.3","15.23","20.96","20.25","96.2","96.14","95.32"
"Kabupaten Blora","353259","363649","390478","425135","464959","103.73","107.05","99.83","99.61","99.14","11.96","12.39","11.53","11.49","11.42","4.89","3.81","3.7","3.1","3.67","1.39","1.82","1.8","1.35","1.59","0.21","0.4","0.42","0.25","0.32","87.46","90.51","91.52","90.72","92.41","94.84","93.39","93.54","24.51","30.64","32.35","21.32","15.36","14.81","13.5","18.53","93.14","94.18","93.48"
"Kabupaten Rembang","403932","414977","441482","477514","518607","100.08","101.4","94.56","91.97","91.45","15.6","15.8","14.65","14.17","14.02","4.83","3.67","1.76","2.6","2.84","2.44","2.77","2.41","2.52","2.76","0.53","0.68","0.59","0.73","0.84","92.68","89.94","92.92","95.44","96.57","95.36","96.43","95.34","37.28","36.08","33.52","25.93","19.02","22.45","24.88","23.69","95.31","94.38","95.55"
"Kabupaten Pati","445913","458616","486855","532545","559499","127.37","128.74","118.04","118.18","116.84","10.08","10.21","9.33","9.31","9.17","4.74","4.6","4.45","4.29","3.87","1.37","1.69","1.2","1.64","1.17","0.26","0.42","0.25","0.42","0.25","92.17","91.67","93.8","95.8","94.97","99.72","96.67","95.92","21.48","22.15","22.22","20.46","14.45","11.22","12.44","15.37","94.45","96.59","96.2"
"Kabupaten Kudus","429666","450992","482806","520830","550075","64.24","67.06","66.06","65.16","65.69","7.31","7.6","7.41","7.24","7.23","5.53","3.77","3.21","3.25","3.19","1.01","1.23","0.9","0.99","1.02","0.18","0.27","0.19","0.22","0.23","91.81","93.8","92.78","92.12","98.32","98.9","95.7","94.62","13.5","17.66","13.6","11.65","8.82","8.45","11.36","15.18","91.18","92.97","94.03"
"Kabupaten Jepara","407056","419028","442618","479131","503832","91.14","95.22","89.08","86.75","80.84","7.17","7.44","6.88","6.61","6.09","6.7","4.23","4.1","3.35","3.34","0.6","0.88","1.22","1.01","0.71","0.07","0.17","0.3","0.26","0.15","63.67","66.59","68.14","70.49","83.61","81.48","83.46","83.79","15.24","33.04","25.72","18.51","12.66","16.94","15.94","20.44","91.21","90.87","92.28"
"Kabupaten Demak","432533","445176","471818","511145","535134","146.87","151.74","143.01","143.26","142.91","12.54","12.92","12.09","12.01","11.89","7.31","5.28","6.11","5.38","4.75","1.97","2.31","1.68","1.83","1.95","0.5","0.61","0.35","0.43","0.56","91.54","91.38","91.64","93.6","96.3","96.71","93.64","92.26","24.23","34.83","36.65","30.7","16.87","17.07","20.73","22.99","94.92","95.66","96.47"
"Kabupaten Semarang","404455","416395","459151","498952","520639","79.88","83.61","78.6","78.35","76.87","7.51","7.82","7.27","7.17","6.96","4.57","5.02","4.81","4.05","3.73","0.96","0.95","1.03","0.82","0.91","0.16","0.18","0.22","0.16","0.18","89.53","91.01","85.91","85.5","98.22","98.25","93.7","95.84","12.22","20.42","23.06","16.74","8.34","13.48","19.31","20.22","90.08","88.81","94.59"
"Kabupaten Temanggung","323705","336034","354012","388369","416086","77.33","79.09","73.04","72.96","68.77","9.96","10.17","9.33","9.26","8.67","3.85","2.62","2.54","2.32","2.35","0.86","1.57","1.06","0.99","0.97","0.11","0.39","0.19","0.17","0.18","68.99","68.05","75.3","69.89","92.81","91.87","94.15","97.8","21.56","31.24","38.26","30","18.92","19.96","26.21","27.02","95.75","96.26","95.21"
"Kabupaten Kendal","396691","407387","433864","465936","488940","97.49","100","93.03","92.64","92.7","9.99","10.24","9.48","9.39","9.35","7.56","7.55","7.34","5.76","5.01","1.37","1.51","1.52","1.19","0.91","0.25","0.33","0.39","0.25","0.15","85.37","83.81","82.65","78.33","95.78","92.65","95.15","96.78","22.19","25.98","22.94","17.64","15.67","17.2","17.78","19.14","89.84","91.94","94.05"
"Kabupaten Batang","309202","318330","341252","378858","412196","70.57","74.91","69.94","69.97","68.85","9.13","9.68","8.98","8.92","8.73","6.92","6.59","6.64","6.06","5.67","1.43","1.76","1.26","1.85","1.25","0.32","0.48","0.29","0.6","0.27","67.91","66.96","67.29","61.7","98.09","98.38","93.63","96.79","19.11","23.03","19.75","13.64","14.34","19.5","18.36","19.11","95.56","93.91","96.16"
"Kabupaten Pekalongan","403662","416779","441765","480934","505520","91.86","95.26","87.53","87.93","81.72","10.19","10.57","9.67","9.67","8.95","6.97","4.28","3.23","3.25","3.3","1.42","1.75","1.67","1.3","1.16","0.29","0.39","0.43","0.31","0.23","76.85","78.57","77.8","83.47","97.14","96.2","91.59","95.65","21.97","28.08","32.94","20.64","17.38","20.96","23.37","22.95","86.53","91.14","94.82"
"Kabupaten Pemalang","389209","401857","429549","467204","493593","209.03","215.08","195.84","195.57","194.2","16.02","16.56","15.06","15.03","14.92","7.64","6.71","6.63","6.55","6.63","2.86","2.92","2.43","2.4","2.56","0.68","0.77","0.57","0.6","0.61","77.64","77.89","77.69","80.73","92.85","95.14","95.56","97.68","28.5","42.65","38.11","34.63","21.23","23.93","26.23","24.16","85.94","88.15","87.21"
"Kabupaten Tegal","390520","404655","434638","470728","497315","117.5","123.52","113.62","105.03","98.02","8.14","8.6","7.9","7.3","6.81","9.82","9.97","9.64","8.6","7.53","1.08","1","0.95","0.88","0.97","0.19","0.19","0.17","0.17","0.22","81.52","84.23","85.82","85.87","96.8","98.87","99.32","98.17","12.85","19.62","19.71","15.45","12.92","15.83","21.26","18.1","82.97","76.96","80.29"
"Kabupaten Brebes","431897","445853","472326","513339","542495","308.78","314.95","290.66","286.14","283.28","17.03","17.43","16.05","15.78","15.6","9.83","9.78","9.48","8.98","8.35","3.01","3.04","2.73","2.98","2.5","0.67","0.74","0.66","0.87","0.55","73.81","80.1","80.72","82.8","93.17","92.6","89.67","88.78","32.24","24.26","36.91","32.78","24.87","25.06","26.63","24.08","90.74","90.67","92.96"
"Kota Magelang","522099","537783","575130","602794","626614","9.27","9.44","8.65","7.45","7.25","7.58","7.75","7.1","6.11","5.94","8.59","8.73","6.71","5.25","4.4","1.12","0.85","0.47","0.74","0.92","0.23","0.15","0.06","0.12","0.19","85.87","84.04","82.27","84.93","100","100","99.71","100","10.38","18.44","22.51","21.79","6.98","10.1","18.02","16.84","61.64","60.65","64.6"
"Kota Surakarta","487445","511216","538441","600953","638102","47.03","48.78","45.94","43.89","43.28","9.03","9.4","8.84","8.44","8.31","7.92","7.85","5.83","4.58","4.61","1.5","1.83","1.07","1","1.14","0.38","0.54","0.27","0.2","0.26","90.03","88.73","87.49","89.97","99.4","99.82","98.68","99.16","18.7","20.03","20.78","17.08","11.87","11.7","17.29","20.08","56.82","61.89","61.33"
"Kota Salatiga","454154","480903","518815","565031","596659","9.69","10.14","9.45","9.41","9.33","4.94","5.14","4.73","4.66","4.57","7.44","7.26","5.58","4.57","3.86","0.53","0.8","0.66","0.75","0.61","0.08","0.19","0.15","0.17","0.1","94.61","98.07","97.72","98.15","99.12","98.78","98.04","98.71","10.85","10.09","11.68","11.32","6.98","4.99","6.62","10.24","70.57","72.91","80.83"
"Kota Semarang","522691","543929","589598","642456","671936","79.58","84.45","79.87","80.53","77.79","4.34","4.56","4.25","4.23","4.03","9.57","9.54","7.6","5.99","5.82","0.68","0.67","0.56","0.54","0.59","0.16","0.14","0.11","0.1","0.12","93.96","93.67","92.45","95.31","98.9","98.42","99.36","99.88","7.53","6.28","7.01","4.35","6.01","4.86","8.81","8.68","74.63","69.34","76.61"
"Kota Pekalongan","460789","480415","513243","565998","605312","22.16","23.49","21.81","21.36","21.16","7.17","7.59","7","6.81","6.71","7.02","6.89","4.98","5.02","4.91","1.28","1.51","0.9","0.82","0.83","0.3","0.41","0.17","0.21","0.17","88.49","94.62","86.82","90.69","99.9","99.28","99.96","98.88","6.57","23.5","28.33","32.21","6.86","9.86","15.43","18.45","74.59","69.64","67.23"
"Kota Tegal","502031","523413","565826","623617","664922","19.55","20.27","19.78","19.22","19.17","7.8","8.12","7.91","7.68","7.64","8.4","8.25","6.68","6.05","5.88","1.38","1.04","1.15","0.86","1.34","0.36","0.24","0.28","0.13","0.32","91.19","92.77","93.58","94.12","99.89","100","99.41","100","13.55","16.46","16.01","13.02","9.66","12.76","12.81","9.33","66.55","65.84","66.62"
